question_id,question_text,answer_type,expected_space,expected_sensor_labels,expected_device_ids,expected_metric_names,expected_canonical_uris,expected_answer,expected_unit,expected_ts,expected_sql_evidence,expected_graph_evidence,notes
Q1,What are the latest humidity and temperature readings in Office1?,latest-readings-set,Office1,Sensor30; Sensor31; Sensor32; Sensor33; Sensor34; Sensor35; Sensor36; Sensor37; Sensor40; Sensor41,not required,relative_humidity; temperature,2s0j47hCv8iPIoVB1rIWZp; 2s0j47hCv8iPIoVB1rIZS1; 2s0j47hCv8iPIoVB1rIZTn; 2s0j47hCv8iPIoVB1rIZUb; 13w9LKJMvBR9NVulm$Rjo6; 2s0j47hCv8iPIoVB1rIZUL; 2s0j47hCv8iPIoVB1rIZOZ; 2s0j47hCv8iPIoVB1rIZOM; 2s0j47hCv8iPIoVB1rIZR_; 2s0j47hCv8iPIoVB1rIZRQ,"Sensor30 RH 45.4, Temp 67.82; Sensor31 RH 46.15, Temp 67.82; Sensor32 RH 45.35, Temp 68.18; Sensor33 RH 49.95, Temp 64.76; Sensor34 RH 39.6, Temp 73.31; Sensor35 RH 39.45, Temp 73.58; Sensor36 RH 39.2, Temp 73.04; Sensor37 RH 45.3, Temp 67.91; Sensor40 RH 38.6, Temp 73.94; Sensor41 RH 38.95, Temp 73.31",percent; fahrenheit,sensor-specific latest timestamps from SQL output,sensor_space_enriched_clean JOIN telemetry_latest ON canonical_uri WHERE space_label='Office1',SPARQL query joining overlay canonical sensors to 223P physical location Office1,Office1 has 12 graph sensors but only 10 with telemetry in this result set
Q2,Which sensors are located in Office1?,set-membership,Office1,Sensor01; Sensor30; Sensor31; Sensor32; Sensor33; Sensor34; Sensor35; Sensor36; Sensor37; Sensor40; Sensor41; Sensor42,Sensor30 bjn52q0pismg008i05qg; Sensor31 bjn52ldp0jt000a5f8gg; Sensor32 bjn52q0pismg008i05r0; Sensor33 bjn562u7kro000cp6dt0; Sensor34 bjn52o67gpvg00cjtt00; Sensor35 bjn52rtntbig00f91hcg; Sensor36 bjn55ttp0jt000a5f9dg; Sensor37 bjn560vbluqg00dm3cag; Sensor40 bjn52o67gpvg00cjtt0g; Sensor41 bjn5327bluqg00dm3bh0,not required,"canonical URIs for Sensor01, 30–37, 40, 41, 42","12 sensors in Office1: Sensor01, Sensor30, Sensor31, Sensor32, Sensor33, Sensor34, Sensor35, Sensor36, Sensor37, Sensor40, Sensor41, Sensor42",n/a,n/a,sensor_space_enriched_clean WHERE space_label='Office1',"SPARQL query over overlay + 223P with ?space rdfs:label ""Office1""",Sensor01 and Sensor42 are in graph/space mapping but have no device_id in SQL result shown
Q3,What metrics are available for Office1?,metric-availability,Office1,optional: Sensor30; Sensor31; Sensor32; Sensor33; Sensor34; Sensor35; Sensor36; Sensor37; Sensor40; Sensor41,not required,relative_humidity; temperature,not required,relative_humidity and temperature,percent; fahrenheit,n/a,DISTINCT metric query joining sensor_space_enriched_clean to telemetry_observations on canonical_uri where space_label='Office1',graph evidence optional; primary truth is telemetry availability,"This question should be graded against telemetry-backed metrics, not merely ontology possibilities"
Q4,What is the average temperature in Office1 over the export window?,aggregation,Office1,telemetry-backed Office1 sensors,not required,temperature,not required,"68.4146916640845
(this is actually the average temperature in Office1 over the export window - computed over 6454 observations from 2026-03-02 05:01:58+00 to 2026-03-09 03:58:18+00)",fahrenheit,window_start=2026-03-02 05:01:58+00; window_end=2026-03-09 03:58:18+00,"AVG over telemetry_observations joined through sensor_space_enriched_clean, filtered to Office1 and metric_name='temperature'",graph evidence optional for room/sensor membership; SQL is primary truth,n_obs = 6454
Q5,Which room has the most humidity sensors?,ranking / count,Office1,telemetry-backed Office1 sensors,not required,relative_humidity,not required,Office1 has the most humidity sensors: 10,count,n/a,grouped COUNT(DISTINCT canonical_uri) over telemetry-backed humidity rows by space,graph-only companion count exists but should not be the primary gold answer,"Companion graph-like count shows 12 sensors in Office1 overall, but telemetry-backed humidity count is 10"
Q6,What is the latest reading for Sensor40?,latest-reading,Office1,Sensor40,optional: bjn52o67gpvg00cjtt0g,relative_humidity; temperature,2s0j47hCv8iPIoVB1rIZR_,"relative_humidity=38.6; temperature=73.94
(at 2026-03-09 03:52:50+00)",percent; fahrenheit,2026-03-09 03:52:50+00,sensor_space_enriched_clean JOIN telemetry_latest WHERE sensor_label='Sensor40',SPARQL identity query confirms canonical URI and IFC GUID,"Good benchmark for single-sensor, multi-metric latest retrieval"
Q7,Which spaces have telemetry available?,set-membership / coverage,Kitchen5; Office1; Reception6; Work Area & Storage2; Work Area & Storage4,not required,not required,relative_humidity; temperature,not required,"Kitchen5, Office1, Reception6, Work Area & Storage2, Work Area & Storage4",n/a,n/a,grouped counts over sensor_space_enriched_clean JOIN telemetry_observations,graph-only spaces should not count unless telemetry exists,Meeting Room3 is excluded here because your telemetry coverage query returned only 5 spaces
Q8,"For Kitchen5, what is the latest humidity reading?",latest-reading,Kitchen5,Sensor44,optional: bjn52ldp0jt000a5f8h0,relative_humidity,2s0j47hCv8iPIoVB1rIZHL,"39.3
(2026-03-09 03:48:30+00)",percent,2026-03-09 03:48:30+00,room-filtered query over sensor_space_enriched_clean JOIN telemetry_latest where metric_name='relative_humidity',graph evidence can confirm Sensor44 is located in Kitchen5,Nice single-room single-metric retrieval target
Q9,Which canonical URI corresponds to Sensor32?,identity-lookup,Office1,Sensor32,optional: bjn52q0pismg008i05r0,not required,2s0j47hCv8iPIoVB1rIZTn,https://example.com/case-office/canonical/2s0j47hCv8iPIoVB1rIZTn,n/a,n/a,sensor_space_enriched_clean WHERE sensor_label='Sensor32',"SPARQL identity query confirms canonical URI, point URI, IFC GUID",Exact string match benchmark
Q10,What room is associated with the device mapped to Sensor38?,device-to-room mapping,Reception6,Sensor38,bjn55um7gpvg00cjttsg,not required,2s0j47hCv8iPIoVB1rIZPV,"Reception6
(Sensor38 = bjn55um7gpvg00cjttsg)",n/a,n/a,sensor_space_enriched_clean WHERE sensor_label='Sensor38'; companion join from dt_sensor_map to sensor_space_enriched_clean on canonical_uri,graph evidence can confirm Sensor38→canonical→space; SQL confirms device mapping,Strong cross-modal mapping benchmark
